TEAM," NAME"," EXPERIENCE"," URL"," POSITION"," AGE"," HT"," WT"," COLLEGE"," SALARY"," PPG_LAST_SEASON"," APG_LAST_SEASON"," RPG_LAST_SEASON"," PER_LAST_SEASON"," PPG_CAREER"," APG_CAREER"," RGP_CAREER"," GP"," MPG"," FGM_FGA"," FGP"," THM_THA"," THP"," FTM_FTA"," FTP"," APG"," BLKPG"," STLPG"," TOPG"," PPG"
Brooklyn Nets,Dzanan Musa,0,http://www.espn.com/nba/player/_/id/4348696,SG,19,205.74,94.12,-,"1,632,240",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brooklyn Nets,Shabazz Napier,4,http://www.espn.com/nba/player/_/id/2530780,PG,27,185.42,81.45,Connecticut,"1,942,422",8.7,2.0,2.3,14.18,5.7,1.9,1.7,233,15.7,1.9-4.9,.395,0.8-2.3,.363,1.0-1.2,.802,1.9,0.1,0.8,1.1,5.7
Brooklyn Nets,Nuni Omot,0,http://www.espn.com/nba/player/_/id/3159942,SF,24,205.74,97.29,Baylor,Not signed,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brooklyn Nets,Theo Pinson,0,http://www.espn.com/nba/player/_/id/3138154,SG,22,198.12,98.64,North Carolina,Not signed,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brooklyn Nets,D'Angelo Russell,3,http://www.espn.com/nba/player/_/id/3136776,PG,22,195.58,89.59,Ohio State,"7,019,698",15.5,5.2,3.9,15.31,14.6,4.3,3.6,191,27.8,5.3-13.1,.409,1.9-5.4,.344,2.0-2.7,.754,4.3,0.2,1.1,2.7,14.6
Brooklyn Nets,Shannon Scott,0,http://www.espn.com/nba/player/_/id/2579278,PG,25,185.42,83.71,Ohio State,Not signed,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brooklyn Nets,Alan Williams,3,http://www.espn.com/nba/player/_/id/2579326,PF,25,203.2,119.91,UC Santa Barbara,"5,000,000",4.0,4.4,0.2,9.35,6.4,5.7,0.6,62,13.6,2.5-5.0,.502,0.0-0.0,.000,1.4-2.2,.630,0.6,0.6,0.6,0.8,6.4
New York Knicks,Kadeem Allen,1,http://www.espn.com/nba/player/_/id/3134880,SG,25,190.5,97.29,Arizona,Not signed,1.1,0.7,0.6,2.61,1.1,0.7,0.6,18,5.9,0.3-1.2,.273,0.0-0.6,.000,0.4-0.5,.778,0.7,0.1,0.2,0.5,1.1
New York Knicks,Ron Baker,2,http://www.espn.com/nba/player/_/id/2580349,SG,25,193.04,99.55,Wichita State,"4,544,000",2.4,1.6,1.0,9.26,3.5,1.9,1.6,81,15.3,1.3-3.4,.370,0.4-1.5,.286,0.6-0.9,.696,1.9,0.2,0.7,0.9,3.5
New York Knicks,Trey Burke,5,http://www.espn.com/nba/player/_/id/2579260,PG,25,185.42,79.19,Michigan,"1,795,015",12.8,4.7,2.0,21.11,10.9,3.8,2.1,303,24.4,4.2-10.5,.404,1.3-3.8,.339,1.1-1.4,.791,3.8,0.1,0.6,1.4,10.9
New York Knicks,Phillip Carr,0,http://www.espn.com/nba/player/_/id/3913736,F,-,205.74,92.76,-,Not signed,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
New York Knicks,Jeff Coby,0,http://www.espn.com/nba/player/_/id/3080186,PF,24,203.2,99.55,Columbia,Not signed,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
New York Knicks,Damyean Dotson,1,http://www.espn.com/nba/player/_/id/2991149,SG,24,198.12,95.02,Houston,"1,378,242",4.1,0.7,1.9,11.64,4.1,0.7,1.9,44,10.8,1.6-3.7,.447,0.5-1.5,.324,0.4-0.5,.696,0.7,0.0,0.3,0.4,4.1
New York Knicks,Tim Hardaway Jr.,5,http://www.espn.com/nba/player/_/id/2528210,G,26,198.12,92.76,Michigan,"17,325,000",17.5,2.7,3.9,14.48,12.1,1.7,2.4,338,25.0,4.3-10.2,.425,1.7-5.0,.344,1.7-2.2,.806,1.7,0.2,0.6,1.0,12.1
New York Knicks,Mario Hezonja,3,http://www.espn.com/nba/player/_/id/2995706,SF,23,203.2,101.81,-,"6,500,000",9.6,1.4,3.7,13.73,6.9,1.3,2.8,219,18.4,2.6-6.2,.418,0.9-2.8,.332,0.8-1.0,.837,1.3,0.3,0.7,1.1,6.9
New York Knicks,Isaiah Hicks,1,http://www.espn.com/nba/player/_/id/3074765,PF,24,205.74,104.07,North Carolina,Not signed,4.4,2.3,0.2,6.88,4.4,2.3,0.2,18,13.3,1.8-4.0,.458,0.1-0.5,.222,0.7-1.0,.667,0.9,0.2,0.1,0.9,4.4
New York Knicks,John Jenkins,5,http://www.espn.com/nba/player/_/id/6594,SG,27,193.04,97.29,Vanderbilt,Not signed,NA,NA,NA,NA,5.1,0.8,1.5,145,12.8,1.9-4.1,.448,0.7-1.8,.364,0.7-0.8,.849,0.8,0.1,0.2,0.6,5.1
New York Knicks,Enes Kanter,7,http://www.espn.com/nba/player/_/id/6447,C,26,210.82,113.12,Kentucky,"18,622,514",14.1,11.0,0.5,24.02,11.7,7.3,0.5,516,21.9,4.8-8.8,.539,0.1-0.2,.294,2.1-2.7,.779,0.7,0.5,0.4,1.6,11.7
New York Knicks,Kevin Knox,0,http://www.espn.com/nba/player/_/id/4278075,SF,19,205.74,97.29,Kentucky,"3,739,920",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
New York Knicks,Luke Kornet,1,http://www.espn.com/nba/player/_/id/3064560,PF,23,215.9,113.12,Vanderbilt,"1,619,260",6.7,3.2,0.8,13.59,6.7,3.2,0.8,20,16.4,2.5-6.3,.392,1.4-4.0,.354,0.4-0.6,.727,1.3,0.8,0.3,0.6,6.7
New York Knicks,Courtney Lee,10,http://www.espn.com/nba/player/_/id/3445,SG,33,195.58,97.29,Western Kentucky,"12,253,780",12.0,2.4,2.9,13.06,10.0,1.7,2.7,753,28.1,3.8-8.4,.451,1.1-2.9,.389,1.3-1.5,.856,1.7,0.3,1.0,1.0,10.0
New York Knicks,Emmanuel Mudiay,3,http://www.espn.com/nba/player/_/id/3892818,PG,22,195.58,90.5,-,"4,294,480",8.6,3.2,2.4,11.51,10.8,4.3,3.0,187,25.2,4.0-10.6,.374,0.9-3.0,.317,2.0-2.7,.731,4.3,0.3,0.8,2.4,10.8
New York Knicks,Frank Ntilikina,1,http://www.espn.com/nba/player/_/id/4230547,PG,20,198.12,90.5,-,"4,155,720",5.9,3.2,2.3,7.11,5.9,3.2,2.3,78,21.9,2.3-6.4,.364,0.6-2.0,.318,0.6-0.9,.721,3.2,0.2,0.8,1.7,5.9
New York Knicks,Kristaps Porzingis,3,http://www.espn.com/nba/player/_/id/3102531,PF,23,220.98,108.6,-,"5,697,054",22.7,6.6,2.4,20.42,17.8,7.1,2.0,186,31.0,6.5-14.8,.437,1.5-4.2,.361,3.3-4.1,.804,1.3,2.0,0.7,1.8,17.8
New York Knicks,Mitchell Robinson,0,http://www.espn.com/nba/player/_/id/4351852,C,20,215.9,108.6,Western Kentucky,"1,485,440",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
New York Knicks,Lance Thomas,7,http://www.espn.com/nba/player/_/id/6485,SF,30,203.2,108.6,Duke,"7,119,650",4.1,0.6,2.4,6.33,5.3,0.7,2.6,346,18.6,1.9-4.6,.420,0.4-1.0,.408,1.0-1.3,.801,0.7,0.1,0.4,0.7,5.3
New York Knicks,Allonzo Trier,0,http://www.espn.com/nba/player/_/id/3907525,SG,22,195.58,90.5,Arizona,Not signed,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
New York Knicks,Noah Vonleh,4,http://www.espn.com/nba/player/_/id/3078284,PF,23,205.74,113.12,Indiana,"1,512,601",4.9,5.8,0.3,12.85,4.1,4.7,0.3,231,15.5,1.6-3.7,.444,0.2-0.6,.297,0.7-1.0,.664,0.4,0.3,0.3,0.7,4.1
New York Knicks,Tyrius Walker,0,http://www.espn.com/nba/player/_/id/4076341,PG,22,185.42,83.71,Morehouse,Not signed,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Philadelphia 76ers,Jerryd Bayless,10,http://www.espn.com/nba/player/_/id/3417,PG,30,190.5,90.5,Arizona,"8,575,916",7.9,1.4,2.1,7.58,8.5,2.8,2.1,552,21.4,3.0-7.2,.414,0.9-2.3,.366,1.7-2.1,.824,2.8,0.1,0.6,1.4,8.5
Philadelphia 76ers,Jonah Bolden,0,http://www.espn.com/nba/player/_/id/3155533,PF,22,208.28,99.55,UCLA,Not signed,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Philadelphia 76ers,Wilson Chandler,10,http://www.espn.com/nba/player/_/id/3194,SF,31,205.74,101.81,DePaul,"12,800,562",10.0,2.1,5.4,10.99,13.5,1.8,5.4,590,31.1,5.2-11.7,.445,1.3-3.9,.341,1.7-2.2,.769,1.8,0.6,0.7,1.4,13.5
Philadelphia 76ers,Robert Covington,5,http://www.espn.com/nba/player/_/id/2490620,SF,27,205.74,101.81,Tennessee State,"10,464,092",12.6,2.0,5.4,12.98,12.7,1.6,5.5,291,29.4,4.2-10.5,.399,2.3-6.5,.358,2.0-2.4,.820,1.6,0.7,1.6,1.8,12.7
Philadelphia 76ers,Joel Embiid,2,http://www.espn.com/nba/player/_/id/3059318,C,24,213.36,113.12,Kansas,"25,467,250",22.9,11.0,1.8,22.95,22.0,9.9,2.0,94,28.7,7.6-15.8,.478,1.1-3.3,.327,5.9-7.6,.774,2.8,2.0,0.7,3.7,22.0
Philadelphia 76ers,Markelle Fultz,1,http://www.espn.com/nba/player/_/id/4066636,PG,20,193.04,90.5,Washington,"8,339,880",7.1,3.8,3.1,12.44,7.1,3.8,3.1,14,18.1,3.2-7.9,.405,0.0-0.1,.000,0.7-1.5,.476,3.8,0.3,0.9,1.2,7.1
Philadelphia 76ers,Demetrius Jackson,2,http://www.espn.com/nba/player/_/id/3059273,PG,24,185.42,90.95,Notre Dame,Not signed,1.1,0.6,0.8,5.39,1.3,0.6,0.8,20,4.9,0.5-1.1,.455,0.1-0.4,.250,0.2-0.4,.500,0.6,0.1,0.3,0.5,1.3
Philadelphia 76ers,Amir Johnson,13,http://www.espn.com/nba/player/_/id/2769,C,31,205.74,108.6,-,"1,512,601",4.6,4.5,0.6,14.90,7.2,5.5,1.0,819,21.7,3.0-5.3,.572,0.1-0.3,.337,1.0-1.5,.670,1.2,1.0,0.6,1.1,7.2
Philadelphia 76ers,Furkan Korkmaz,1,http://www.espn.com/nba/player/_/id/3929325,SG,21,200.66,85.97,-,"1,740,000",1.6,0.3,0.8,3.43,1.6,0.3,0.8,14,5.7,0.6-2.0,.286,0.4-1.2,.294,0.1-0.3,.500,0.3,0.1,0.1,0.1,1.6
Philadelphia 76ers,T.J. McConnell,3,http://www.espn.com/nba/player/_/id/2530530,PG,26,187.96,85.97,Arizona,"1,600,520",6.3,4.0,3.0,12.51,6.4,5.1,3.1,238,22.9,2.8-5.9,.475,0.3-0.9,.335,0.5-0.7,.765,5.1,0.1,1.3,1.7,6.4
Philadelphia 76ers,Shake Milton,0,http://www.espn.com/nba/player/_/id/3915195,SG,22,198.12,93.67,SMU,Not signed,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Philadelphia 76ers,Mike Muscala,5,http://www.espn.com/nba/player/_/id/2490089,PF,27,210.82,108.6,Bucknell,"5,000,000",7.6,4.3,0.5,14.39,5.4,3.1,0.5,243,14.7,2.1-4.2,.491,0.5-1.4,.378,0.7-0.8,.848,0.9,0.5,0.4,0.7,5.4
Philadelphia 76ers,JJ Redick,12,http://www.espn.com/nba/player/_/id/3024,SG,34,193.04,90.5,Duke,"12,250,000",17.1,3.0,2.5,15.92,12.4,2.0,2.0,760,25.4,4.2-9.3,.449,1.9-4.6,.415,2.1-2.4,.890,2.0,0.1,0.5,1.1,12.4
Philadelphia 76ers,Dario Saric,2,http://www.espn.com/nba/player/_/id/3032978,PF,24,208.28,100.9,-,"2,526,840",14.6,6.7,0.3,15.88,13.7,6.5,0.3,159,27.9,4.9-11.4,.431,1.7-4.7,.355,2.2-2.7,.820,2.4,0.3,0.7,2.1,13.7
Philadelphia 76ers,Landry Shamet,0,http://www.espn.com/nba/player/_/id/3914044,PG,21,195.58,85.07,Wichita State,"1,703,649",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Philadelphia 76ers,Ben Simmons,1,http://www.espn.com/nba/player/_/id/3907387,PG,22,208.28,104.07,LSU,"6,434,520",15.8,8.2,8.1,20.03,15.8,8.2,8.1,81,33.7,6.7-12.3,.545,0.0-0.1,.000,2.4-4.2,.560,8.2,0.9,1.7,3.4,15.8
Philadelphia 76ers,Zhaire Smith,0,http://www.espn.com/nba/player/_/id/4277923,SG,19,193.04,90.05,Texas Tech,"2,526,840",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Toronto Raptors,Deng Adel,0,http://www.espn.com/nba/player/_/id/3908807,SF,21,200.66,90.5,Louisville,Not signed,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Toronto Raptors,OG Anunoby,1,http://www.espn.com/nba/player/_/id/3934719,SF,21,203.2,104.98,Indiana,"2,034,120",5.9,0.7,2.5,10.00,5.9,0.7,2.5,74,20.0,2.2-4.7,.471,1.0-2.7,.371,0.5-0.8,.629,0.7,0.2,0.7,0.6,5.9
Toronto Raptors,Chris Boucher,1,http://www.espn.com/nba/player/_/id/3948153,PF,25,208.28,90.5,Oregon,Not signed,0.0,1.0,0.0,-28.48,0.0,1.0,0.0,1,1.0,0.0-1.0,.000,0.0-1.0,.000,0.0-0.0,.000,0.0,0.0,0.0,0.0,0.0
Toronto Raptors,Lorenzo Brown,4,http://www.espn.com/nba/player/_/id/2528787,PG,28,195.58,85.52,North Carolina State,"1,512,601",2.3,0.9,1.1,8.21,3.1,2.0,1.6,77,12.6,1.3-3.5,.375,0.2-1.0,.154,0.3-0.5,.684,2.0,0.1,0.6,0.8,3.1
Toronto Raptors,Kyle Collinsworth,1,http://www.espn.com/nba/player/_/id/2528327,PG,27,198.12,95.02,BYU,Not signed,3.2,1.8,3.3,9.97,3.2,1.8,3.3,32,15.0,1.2-3.1,.384,0.1-0.5,.235,0.7-1.3,.525,1.8,0.3,0.5,0.8,3.2
Toronto Raptors,Kay Felder,2,http://www.espn.com/nba/player/_/id/3062892,PG,23,175.26,79.64,Oakland,Not signed,3.6,1.3,1.1,3.64,3.8,1.3,1.0,58,9.1,1.4-3.9,.364,0.2-0.7,.268,0.8-1.1,.754,1.3,0.1,0.4,0.8,3.8
Toronto Raptors,Danny Green,9,http://www.espn.com/nba/player/_/id/3988,SG,31,198.12,97.29,North Carolina,"10,000,000",8.6,1.6,3.6,11.38,8.8,1.6,3.4,540,25.1,3.1-7.5,.418,1.8-4.5,.395,0.8-1.0,.815,1.6,0.8,1.0,1.0,8.8
Toronto Raptors,Serge Ibaka,9,http://www.espn.com/nba/player/_/id/3439,PF,29,208.28,106.33,-,"21,666,667",12.6,6.3,1.3,14.72,12.1,7.2,2.2,679,28.9,5.0-9.8,.512,0.6-1.7,.367,1.4-1.9,.761,0.7,2.2,0.4,1.3,12.1
Toronto Raptors,Kawhi Leonard,7,http://www.espn.com/nba/player/_/id/6450,SF,27,200.66,104.07,San Diego State,"23,114,067",16.2,2.3,4.7,26.03,16.3,2.3,6.2,407,30.4,6.0-12.1,.495,1.3-3.4,.386,3.1-3.7,.846,2.3,0.7,1.8,1.4,16.3
Toronto Raptors,Kyle Lowry,12,http://www.espn.com/nba/player/_/id/3012,PG,32,185.42,88.69,Villanova,"31,200,000",16.2,6.9,5.6,19.53,14.4,5.9,4.2,791,31.1,4.6-10.9,.425,1.7-4.7,.370,3.4-4.3,.803,5.9,0.3,1.3,2.2,14.4
Toronto Raptors,Jordan Loyd,0,http://www.espn.com/nba/player/_/id/2595592,PG,25,193.04,95.02,Indianapolis,Not signed,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Toronto Raptors,CJ Miles,13,http://www.espn.com/nba/player/_/id/2778,SF,31,198.12,99.55,-,"8,333,333",10.0,0.8,2.2,13.08,9.8,1.1,2.4,785,20.7,3.5-8.5,.414,1.5-4.1,.361,1.3-1.6,.809,1.1,0.3,0.7,0.9,9.8
Toronto Raptors,Greg Monroe,8,http://www.espn.com/nba/player/_/id/4260,C,28,210.82,119.91,Georgetown,"1,512,601",10.3,6.9,0.5,21.24,13.7,8.6,0.6,589,28.9,5.5-10.7,.515,0.0-0.0,.000,2.7-3.8,.707,2.3,0.6,1.1,2.0,13.7
Toronto Raptors,Eric Moreland,3,http://www.espn.com/nba/player/_/id/2531352,C,26,208.28,107.69,Oregon State,"1,826,300",2.1,4.1,0.8,13.99,2.0,3.7,0.7,78,11.0,0.9-1.7,.543,0.0-0.0,.000,0.2-0.4,.394,1.0,0.7,0.4,0.6,2.0
Toronto Raptors,Norman Powell,3,http://www.espn.com/nba/player/_/id/2595516,SF,25,193.04,97.29,UCLA,"9,367,200",5.5,1.3,1.7,8.57,6.6,1.1,2.0,195,16.2,2.4-5.7,.427,0.7-2.3,.324,1.0-1.3,.801,1.1,0.2,0.6,0.9,6.6
